Doc,TF
D7250,0
D7256,0
D7259,0
D7263,0
D7266,0
D7272,0
D7273,0
D7285,0
D7290,0
D7291,0
D7294,1
D7300,0
D7303,0
D7310,0
D7315,0
D7316,0
D7325,0
D7328,0
D7336,0
D7339,0
D7341,0
D7342,0
D7352,0
D7361,0
D7363,0
D7378,0
D7379,0
D7385,0
D7391,0
D7397,0
D7400,0
D7401,0
D7406,0
D7411,0
D7414,0
D7426,0
D7427,0
D7433,0
D7439,1
D7452,0
D7455,0
D7463,0
D7467,0
D7470,0
D7475,0
D7484,0
D7490,0
D7495,0
D7500,0
D7508,0
D7514,1
D7519,0
D7526,1
D7528,0
D7529,0
D7534,0
D7535,0
D7538,0
D7543,0
D7544,0
D7545,0
D7546,0
D7547,0
D7550,0
D7551,1
D7553,0
D7555,0
D7565,0
D7567,0
D7568,0
D7574,0
D7575,0
D7590,0
D7591,0
D7593,0
D7598,0
D7602,0
D7604,0
D7609,1
D7611,0
D7612,0
D7614,0
D7615,0
D7620,0
D7621,1
D7624,0
D7625,0
D7630,0
D7633,0
D7634,0
D7635,0
D7647,0
D7652,1
D7655,1
D7656,0
D7661,0
D7663,0
D7666,0
D7668,1
D7670,0
D7679,1
D7681,0
D7682,0
D7689,1
D7690,0
D7691,0
D7693,0
D7698,0
D7700,0
D7701,0
D7706,0
D7709,0
D7712,1
D7713,0
D7714,0
D7715,0
D7718,0
D7726,0
D7733,0
D7734,0
D7735,0
D7736,0
D7738,0
D7741,0
D7744,0
D7746,1
D7751,1
D7754,0
D7756,0
D7758,0
D7761,0
D7762,0
D7771,0
D7774,0
D7778,0
D7780,0
D7792,0
D7795,0
D7797,2
D7802,0
D7804,0
D7809,1
D7810,1
D7813,0
D7814,0
D7815,1
D7829,0
D7835,2
D7843,0
D7847,1
D7850,0
D7851,2
D7853,0
D7854,1
D7855,0
D7861,0
D7867,0
D7868,1
D7871,0
D7879,0
D7885,0
D7887,0
D7890,0
D7892,4
D7893,4
D7896,0
D7900,0
D7903,0
D7906,0
D7911,0
D7913,0
D7915,1
D7917,1
D7918,0
D7923,1
D7925,0
D7928,0
D7929,0
D7931,1
D7932,0
D7933,0
D7934,1
D7935,0
D7936,0
D7939,0
D7941,0
D7946,0
D7948,0
D7957,0
D7960,0
D7969,0
D7971,0
D7972,1
D7977,1
D7986,1
D7987,0
D7989,0
D7990,2
D7999,0
D8001,0
D8010,0
D8012,0
D8016,1
D8018,0
D8021,0
D8024,0
D8026,0
D8029,0
D8036,0
D8038,0
D8043,0
D8052,0
D8053,0
